               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029317,            0.033171,           0.0071335,             0.95442,             0.95933,             0.97451,             0.65379,             0.02985,           0.0075121,           0.0046985,            0.070092,           0.0033231,           0.0033231
                   1,            0.031151,            0.033335,           0.0071651,             0.95099,             0.95198,             0.97729,             0.62532,            0.032006,           0.0078175,           0.0048764,            0.040048,           0.0066125,           0.0066125
                   2,            0.033742,            0.034787,           0.0074222,             0.94195,             0.94421,             0.96839,              0.6117,            0.033569,           0.0079364,           0.0052672,           0.0099602,           0.0098579,           0.0098579
                   3,            0.034253,            0.036916,           0.0078909,             0.92896,             0.92522,             0.95715,             0.59832,            0.033954,           0.0083513,           0.0057438,            0.009802,            0.009802,            0.009802
                   4,            0.034716,            0.038265,           0.0080877,             0.92932,              0.9126,             0.95589,             0.59265,            0.034117,           0.0083957,           0.0056611,            0.009802,            0.009802,            0.009802
                   5,            0.034228,            0.038046,           0.0081154,             0.93893,             0.91399,             0.95732,             0.60289,            0.033139,            0.008333,           0.0054927,            0.009736,            0.009736,            0.009736
                   6,            0.034071,            0.037949,           0.0080789,              0.9506,             0.93174,             0.95819,             0.60068,            0.033363,           0.0083014,           0.0059925,             0.00967,             0.00967,             0.00967
                   7,            0.034092,            0.038029,           0.0080159,             0.93612,             0.93045,             0.95847,              0.6112,            0.032774,           0.0081188,           0.0054101,            0.009604,            0.009604,            0.009604
                   8,            0.034104,            0.037661,           0.0081038,             0.92149,             0.92707,             0.96326,             0.59284,            0.033354,           0.0083506,           0.0053594,            0.009538,            0.009538,            0.009538
                   9,            0.033857,            0.038241,           0.0080759,             0.93493,             0.92951,              0.9617,             0.60221,            0.033081,           0.0082179,           0.0053893,            0.009472,            0.009472,            0.009472
                  10,            0.033856,            0.037786,           0.0080831,             0.92028,             0.93194,             0.95662,             0.60654,            0.033048,           0.0082426,           0.0054784,            0.009406,            0.009406,            0.009406
                  11,            0.033726,            0.037699,           0.0079288,             0.94025,             0.93357,             0.96844,             0.61575,            0.032441,           0.0081477,           0.0052611,             0.00934,             0.00934,             0.00934
                  12,            0.033527,            0.037434,           0.0078988,              0.9436,             0.94521,             0.96906,             0.61232,            0.032495,           0.0080864,           0.0051566,            0.009274,            0.009274,            0.009274
                  13,              0.0336,            0.037708,            0.007975,              0.9317,             0.94305,              0.9676,             0.60967,            0.032713,           0.0082225,           0.0054191,            0.009208,            0.009208,            0.009208
                  14,            0.033668,            0.037452,            0.008013,             0.94141,             0.94641,             0.97071,             0.62223,            0.032528,           0.0080436,            0.005203,            0.009142,            0.009142,            0.009142
                  15,             0.03355,            0.037705,           0.0080145,             0.92479,             0.93993,             0.96153,             0.61754,             0.03248,           0.0081393,             0.00537,            0.009076,            0.009076,            0.009076
                  16,            0.033478,            0.038007,           0.0079675,             0.92693,             0.92908,             0.96138,             0.60503,            0.033229,           0.0083269,           0.0052913,             0.00901,             0.00901,             0.00901
                  17,            0.033324,            0.037488,           0.0078891,             0.93823,             0.94112,             0.96467,              0.6212,            0.031933,           0.0080439,           0.0050678,            0.008944,            0.008944,            0.008944
                  18,            0.033347,            0.037581,           0.0079707,             0.92788,             0.95213,             0.97136,             0.61897,            0.032209,           0.0080128,           0.0051337,            0.008878,            0.008878,            0.008878
                  19,            0.033371,            0.037335,           0.0079487,             0.93778,             0.94757,             0.96996,               0.615,            0.032346,           0.0081251,           0.0049091,            0.008812,            0.008812,            0.008812
                  20,            0.033235,            0.037468,             0.00787,             0.92968,              0.9637,              0.9732,             0.62319,            0.032132,           0.0081037,            0.005099,            0.008746,            0.008746,            0.008746
                  21,            0.033109,             0.03744,           0.0078669,             0.94707,             0.93661,             0.97169,             0.62239,            0.032244,           0.0079788,           0.0051086,             0.00868,             0.00868,             0.00868
                  22,            0.033078,            0.037458,           0.0079634,             0.92765,             0.94607,             0.96998,             0.62434,            0.032122,           0.0081444,           0.0052164,            0.008614,            0.008614,            0.008614
                  23,            0.032983,            0.037282,           0.0079799,             0.93132,             0.94652,             0.96687,             0.60888,            0.032556,           0.0082113,           0.0052087,            0.008548,            0.008548,            0.008548
                  24,            0.032872,            0.037349,           0.0079276,             0.94257,             0.95158,             0.97245,             0.63253,            0.031468,           0.0081148,           0.0050143,            0.008482,            0.008482,            0.008482
                  25,            0.032682,            0.037088,           0.0078078,             0.94465,             0.94046,             0.96698,             0.61836,            0.032297,           0.0080859,           0.0049493,            0.008416,            0.008416,            0.008416
                  26,            0.032916,            0.037361,           0.0078577,             0.94102,             0.95903,             0.97042,             0.62991,            0.031866,           0.0078169,           0.0049268,             0.00835,             0.00835,             0.00835
                  27,            0.032844,            0.036928,           0.0078902,             0.94455,             0.95962,             0.97436,             0.63319,            0.031502,           0.0078482,           0.0050958,            0.008284,            0.008284,            0.008284
                  28,            0.032623,            0.036843,           0.0078808,             0.93921,             0.95248,             0.97625,             0.63375,             0.03163,            0.007979,           0.0051494,            0.008218,            0.008218,            0.008218
                  29,             0.03255,            0.036483,           0.0078439,             0.94443,              0.9468,             0.96633,             0.63049,            0.031735,           0.0079586,           0.0051217,            0.008152,            0.008152,            0.008152
                  30,            0.032524,            0.036822,           0.0077895,             0.95022,             0.95597,             0.97079,              0.6334,            0.031558,           0.0079223,           0.0050432,            0.008086,            0.008086,            0.008086
                  31,            0.032471,            0.037029,           0.0078093,             0.93989,             0.94354,             0.96416,             0.62745,            0.031791,           0.0080511,           0.0051263,             0.00802,             0.00802,             0.00802
                  32,            0.032358,            0.036552,           0.0076975,             0.95246,              0.9595,             0.97546,             0.64237,            0.030983,           0.0077761,           0.0049624,            0.007954,            0.007954,            0.007954
                  33,            0.032288,            0.036257,           0.0077191,             0.92995,             0.96172,             0.97251,             0.63249,             0.03148,           0.0078405,           0.0051088,            0.007888,            0.007888,            0.007888
                  34,            0.032529,            0.036846,           0.0077804,             0.94097,             0.95272,             0.97269,             0.64101,            0.031228,           0.0078826,           0.0050809,            0.007822,            0.007822,            0.007822
                  35,            0.032267,            0.036915,           0.0077143,              0.9411,              0.9541,              0.9738,             0.63348,            0.031093,           0.0078117,           0.0050182,            0.007756,            0.007756,            0.007756
                  36,             0.03226,            0.036714,           0.0077812,             0.94085,             0.94796,              0.9747,             0.63727,            0.031379,           0.0079298,            0.004929,             0.00769,             0.00769,             0.00769
                  37,            0.032224,            0.036503,            0.007905,             0.94228,             0.94832,             0.97205,             0.63621,            0.031262,           0.0078126,           0.0050121,            0.007624,            0.007624,            0.007624
                  38,            0.032294,            0.037029,           0.0077686,             0.94747,             0.95886,              0.9745,             0.64539,            0.030931,           0.0076792,           0.0050451,            0.007558,            0.007558,            0.007558
                  39,            0.032335,            0.036932,           0.0078501,             0.93831,             0.95068,             0.96903,             0.63769,            0.031262,           0.0077589,           0.0049774,            0.007492,            0.007492,            0.007492
                  40,            0.032122,            0.036034,           0.0077665,             0.94113,             0.95035,              0.9697,             0.64163,            0.030878,           0.0076588,           0.0049922,            0.007426,            0.007426,            0.007426
                  41,            0.032042,            0.036496,           0.0077884,             0.93631,              0.9618,             0.97265,              0.6375,            0.031135,           0.0077857,           0.0048947,             0.00736,             0.00736,             0.00736
                  42,            0.032088,            0.036309,            0.007739,             0.93764,              0.9627,             0.97433,             0.64497,            0.030762,           0.0078142,           0.0048634,            0.007294,            0.007294,            0.007294
                  43,            0.031916,            0.035841,            0.007713,             0.94783,             0.96168,              0.9768,             0.64837,            0.030445,           0.0076182,           0.0048926,            0.007228,            0.007228,            0.007228
                  44,            0.031843,            0.036552,           0.0077191,             0.94805,             0.95897,             0.97195,             0.64215,            0.030782,           0.0077476,           0.0049703,            0.007162,            0.007162,            0.007162
                  45,            0.031768,            0.036043,           0.0076192,             0.95056,             0.95273,             0.97046,             0.64808,            0.030702,           0.0077107,           0.0048548,            0.007096,            0.007096,            0.007096
                  46,            0.031722,            0.035643,           0.0076626,             0.94598,             0.96209,             0.97629,             0.64799,             0.03074,           0.0076319,           0.0048917,             0.00703,             0.00703,             0.00703
                  47,             0.03173,            0.036132,           0.0076412,             0.94652,             0.95773,             0.97427,             0.64678,            0.030651,           0.0077653,           0.0050401,            0.006964,            0.006964,            0.006964
                  48,            0.031591,            0.036235,           0.0076581,             0.94588,              0.9572,              0.9686,             0.64791,            0.030874,           0.0078294,           0.0051224,            0.006898,            0.006898,            0.006898
                  49,            0.031669,            0.036158,           0.0076905,             0.94509,             0.95137,             0.97157,             0.64782,            0.030414,           0.0076477,           0.0049598,            0.006832,            0.006832,            0.006832
                  50,            0.031705,            0.036269,           0.0077065,             0.94402,             0.95472,             0.97056,             0.65051,            0.030404,           0.0076205,           0.0049506,            0.006766,            0.006766,            0.006766
                  51,             0.03142,            0.035405,           0.0075392,             0.95041,              0.9483,             0.97264,             0.64893,            0.030288,           0.0075876,           0.0048613,              0.0067,              0.0067,              0.0067
                  52,            0.031604,            0.035377,           0.0076542,             0.95088,             0.93549,             0.97236,             0.64818,            0.030539,           0.0077211,           0.0047732,            0.006634,            0.006634,            0.006634
                  53,             0.03147,            0.035657,            0.007612,             0.94458,             0.95761,             0.97468,             0.65096,            0.030286,            0.007616,           0.0047819,            0.006568,            0.006568,            0.006568
                  54,            0.031289,            0.035951,           0.0075858,             0.94841,             0.96102,             0.97296,             0.65465,            0.030145,           0.0075835,           0.0048123,            0.006502,            0.006502,            0.006502
                  55,            0.031151,            0.035665,             0.00749,             0.95295,              0.9509,             0.97228,             0.65806,             0.03003,            0.007641,           0.0048202,            0.006436,            0.006436,            0.006436
                  56,            0.031239,             0.03557,           0.0076047,             0.94271,             0.95275,             0.97019,             0.65143,            0.030091,           0.0077386,           0.0048464,             0.00637,             0.00637,             0.00637
                  57,            0.031126,            0.035513,           0.0075245,             0.94074,             0.96025,             0.97362,             0.64819,            0.030024,           0.0077193,           0.0047219,            0.006304,            0.006304,            0.006304
                  58,            0.031195,            0.035943,            0.007541,             0.94461,             0.96093,             0.97344,             0.65173,            0.030124,           0.0076628,           0.0049403,            0.006238,            0.006238,            0.006238
                  59,             0.03087,            0.035057,           0.0074913,             0.94545,             0.95669,             0.97396,             0.65436,             0.03016,           0.0076582,           0.0047517,            0.006172,            0.006172,            0.006172
                  60,            0.030982,            0.035094,           0.0075359,             0.94674,             0.96724,              0.9782,             0.65843,            0.029823,           0.0075376,           0.0046594,            0.006106,            0.006106,            0.006106
                  61,            0.030998,            0.035201,           0.0075663,             0.95191,             0.95499,              0.9749,             0.65755,            0.029922,           0.0075726,           0.0047313,             0.00604,             0.00604,             0.00604
                  62,            0.030893,            0.035246,            0.007478,             0.94212,              0.9603,             0.97481,             0.65596,            0.029926,           0.0076056,           0.0047142,            0.005974,            0.005974,            0.005974
                  63,            0.030765,            0.035246,           0.0074175,             0.94976,             0.95727,             0.97305,              0.6595,            0.029673,           0.0075237,           0.0047114,            0.005908,            0.005908,            0.005908
                  64,            0.030773,            0.034963,           0.0074352,             0.95499,             0.95069,             0.97603,              0.6588,            0.029526,           0.0075632,           0.0047691,            0.005842,            0.005842,            0.005842
                  65,            0.030703,            0.034914,           0.0073779,             0.95315,             0.95904,             0.97592,             0.66142,            0.029438,           0.0075396,           0.0046722,            0.005776,            0.005776,            0.005776
                  66,            0.030571,            0.034844,           0.0073952,             0.94403,             0.96093,             0.97576,             0.65921,            0.029649,           0.0075808,           0.0047532,             0.00571,             0.00571,             0.00571
                  67,            0.030404,            0.034611,           0.0074582,             0.94338,             0.96019,             0.97514,              0.6589,            0.029374,           0.0076154,           0.0046569,            0.005644,            0.005644,            0.005644
                  68,            0.030546,            0.034456,           0.0073992,             0.95186,             0.96299,             0.97507,             0.66104,            0.029701,           0.0075125,            0.004786,            0.005578,            0.005578,            0.005578
                  69,            0.030387,            0.034673,           0.0074275,             0.95375,             0.95885,             0.97751,             0.66199,            0.029537,           0.0074636,           0.0047026,            0.005512,            0.005512,            0.005512
                  70,            0.030513,            0.034856,           0.0073901,             0.95013,             0.96971,             0.97645,             0.66355,            0.029407,            0.007468,           0.0046272,            0.005446,            0.005446,            0.005446
                  71,            0.030314,            0.034741,           0.0073037,             0.95284,             0.95794,             0.97567,             0.66634,            0.029546,           0.0074047,           0.0046942,             0.00538,             0.00538,             0.00538
                  72,            0.030292,            0.034301,           0.0073472,             0.95629,             0.94359,             0.97572,             0.66777,            0.029361,           0.0074751,           0.0045823,            0.005314,            0.005314,            0.005314
                  73,             0.03019,            0.034006,           0.0074013,             0.94755,              0.9555,             0.97221,             0.66523,            0.029159,           0.0075019,           0.0045879,            0.005248,            0.005248,            0.005248
                  74,            0.030304,            0.034403,           0.0074033,             0.95273,             0.96511,             0.97698,             0.66804,            0.029194,           0.0074845,           0.0045866,            0.005182,            0.005182,            0.005182
                  75,            0.030098,            0.033901,            0.007281,             0.95464,             0.95378,             0.97423,             0.66059,            0.029357,           0.0075142,            0.004684,            0.005116,            0.005116,            0.005116
                  76,            0.030129,            0.034324,           0.0073225,             0.95152,             0.96164,             0.97505,             0.66378,             0.02924,           0.0074327,            0.004654,             0.00505,             0.00505,             0.00505
                  77,            0.030025,            0.033974,           0.0072758,             0.95342,             0.96313,             0.97683,              0.6608,            0.029142,           0.0075013,           0.0047001,            0.004984,            0.004984,            0.004984
                  78,            0.029842,            0.033663,           0.0072944,             0.95639,             0.96217,             0.97518,             0.66578,            0.028965,           0.0073765,           0.0045626,            0.004918,            0.004918,            0.004918
                  79,             0.02998,            0.033554,           0.0073913,             0.95356,             0.96538,             0.97684,             0.66897,            0.029176,           0.0074704,           0.0047315,            0.004852,            0.004852,            0.004852
                  80,            0.029701,            0.033829,           0.0071256,              0.9522,             0.95584,             0.97378,             0.66194,            0.029168,           0.0074673,           0.0047618,            0.004786,            0.004786,            0.004786
                  81,             0.02964,            0.033758,           0.0071699,             0.95135,              0.9628,             0.97438,             0.66245,            0.029285,           0.0074087,           0.0046786,             0.00472,             0.00472,             0.00472
                  82,            0.029701,            0.033758,           0.0071619,             0.95157,             0.96549,             0.97596,             0.66803,            0.029187,           0.0073674,           0.0045961,            0.004654,            0.004654,            0.004654
                  83,            0.029676,            0.033714,           0.0072358,             0.94985,             0.95985,              0.9738,             0.66735,            0.028988,           0.0073489,           0.0046077,            0.004588,            0.004588,            0.004588
                  84,            0.029558,            0.033839,           0.0071617,             0.95417,             0.96506,             0.97555,             0.66822,            0.028869,           0.0073905,           0.0046969,            0.004522,            0.004522,            0.004522
                  85,            0.029448,            0.033478,           0.0072859,              0.9516,             0.96437,             0.97486,             0.66769,            0.028958,           0.0074182,           0.0046441,            0.004456,            0.004456,            0.004456
                  86,            0.029367,            0.033835,           0.0072423,              0.9508,             0.95951,             0.97498,             0.66746,            0.028956,           0.0074412,           0.0046121,             0.00439,             0.00439,             0.00439
                  87,            0.029483,            0.033632,           0.0072565,             0.94775,              0.9672,             0.97524,              0.6672,            0.029001,           0.0074089,           0.0045872,            0.004324,            0.004324,            0.004324
                  88,              0.0296,            0.033662,            0.007201,             0.95502,             0.95959,             0.97375,             0.67425,            0.028768,           0.0073466,           0.0045836,            0.004258,            0.004258,            0.004258
                  89,            0.029183,            0.033434,            0.007176,             0.95604,             0.95864,              0.9745,             0.67489,            0.028746,           0.0073568,           0.0044788,            0.004192,            0.004192,            0.004192
                  90,            0.029087,            0.032913,           0.0071222,             0.95103,             0.96598,             0.97548,             0.67596,            0.028784,           0.0073461,           0.0045637,            0.004126,            0.004126,            0.004126
                  91,            0.029218,            0.033329,           0.0071284,              0.9531,             0.96353,             0.97536,             0.67249,            0.028867,            0.007391,           0.0045414,             0.00406,             0.00406,             0.00406
                  92,            0.029258,            0.033224,           0.0072331,             0.95305,             0.96885,             0.97635,             0.67272,            0.028756,           0.0074035,           0.0045212,            0.003994,            0.003994,            0.003994
                  93,            0.029153,            0.033303,           0.0071655,             0.95326,             0.96714,             0.97579,              0.6756,            0.028896,           0.0074096,           0.0045987,            0.003928,            0.003928,            0.003928
                  94,             0.02899,            0.033103,           0.0071097,             0.94987,             0.96129,             0.97556,             0.67239,            0.028898,           0.0074136,           0.0046621,            0.003862,            0.003862,            0.003862
                  95,            0.029084,            0.033403,           0.0071199,              0.9565,             0.96075,             0.97412,             0.67623,            0.028791,           0.0074191,           0.0046844,            0.003796,            0.003796,            0.003796
                  96,            0.028922,            0.033005,           0.0071229,              0.9544,             0.96256,             0.97444,             0.67351,            0.028922,           0.0074313,           0.0046529,             0.00373,             0.00373,             0.00373
                  97,            0.028696,            0.032704,           0.0070645,             0.95677,             0.96198,              0.9755,             0.67753,            0.028708,           0.0074239,           0.0046702,            0.003664,            0.003664,            0.003664
                  98,            0.028667,            0.032639,           0.0070322,             0.95356,             0.96009,             0.97518,             0.67497,            0.028692,           0.0074714,           0.0046832,            0.003598,            0.003598,            0.003598
