               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.021913,           0.0089006,                   0,             0.98354,             0.97663,             0.98516,             0.70372,            0.022936,           0.0057314,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.021388,           0.0089152,                   0,             0.98896,             0.98663,             0.99274,             0.72824,            0.021726,           0.0058452,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.021212,           0.0087762,                   0,               0.986,             0.98217,             0.99246,             0.72108,              0.0219,           0.0060379,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.020981,           0.0087054,                   0,             0.98366,             0.98388,             0.99253,             0.72036,            0.021957,           0.0059163,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.021176,            0.008705,                   0,             0.98852,             0.98068,             0.98645,             0.72105,            0.022327,           0.0057656,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.021223,           0.0086366,                   0,             0.98954,             0.98729,             0.99201,             0.71681,            0.021973,           0.0058101,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.020774,            0.008746,                   0,             0.97873,              0.9792,             0.98718,             0.71879,            0.022196,           0.0059264,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.020919,           0.0086365,                   0,             0.98802,              0.9801,             0.98807,             0.71596,            0.022026,           0.0059771,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.020615,           0.0084808,                   0,              0.9925,             0.98361,             0.98809,             0.71877,            0.022249,            0.005895,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.020477,            0.008501,                   0,             0.99324,              0.9896,             0.99408,             0.72686,            0.021081,           0.0058545,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.019822,           0.0084505,                   0,             0.98804,             0.98341,             0.98558,             0.71658,            0.021998,           0.0059224,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.020445,           0.0084422,                   0,             0.99216,             0.98808,             0.99307,             0.73105,            0.021695,           0.0058886,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.019864,            0.008379,                   0,             0.99064,             0.98808,             0.99085,             0.72582,            0.022033,           0.0058874,                   0,            0.006766,            0.006766,            0.006766
                  51,             0.01997,           0.0082846,                   0,             0.99088,             0.98514,             0.99091,              0.7301,            0.022166,           0.0058203,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.020093,           0.0083006,                   0,             0.98955,             0.98464,             0.99098,             0.73261,            0.021917,           0.0059358,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.019209,            0.008182,                   0,             0.99315,             0.98363,              0.9924,             0.73038,            0.022597,           0.0059349,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.019901,           0.0083046,                   0,             0.99253,             0.98683,              0.9928,             0.71938,            0.022391,           0.0059665,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.019861,           0.0082759,                   0,             0.98773,             0.98659,             0.99183,             0.73673,            0.022619,            0.005935,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.019368,           0.0083281,                   0,             0.99354,              0.9851,             0.98846,             0.73044,            0.022404,           0.0058504,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.019569,            0.008201,                   0,             0.99242,             0.97467,             0.99052,              0.7184,            0.022686,           0.0059338,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.019042,           0.0081952,                   0,             0.98807,             0.98736,              0.9931,             0.73949,            0.022408,           0.0059617,                   0,            0.006238,            0.006238,            0.006238
