               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036965,            0.042015,           0.0090239,             0.91957,             0.95136,             0.96478,             0.60448,            0.033413,           0.0080507,           0.0054106,             0.00769,             0.00769,             0.00769
                  37,            0.036802,             0.04189,            0.009118,             0.93498,             0.93253,             0.96529,             0.60441,            0.033332,           0.0080609,           0.0053319,            0.007624,            0.007624,            0.007624
                  38,            0.036679,            0.042278,           0.0089224,             0.93846,              0.9419,             0.96557,             0.61441,               0.033,            0.007975,           0.0051785,            0.007558,            0.007558,            0.007558
                  39,            0.036908,            0.042115,            0.008995,             0.93682,             0.93857,             0.96878,              0.6144,            0.033303,           0.0079379,            0.005208,            0.007492,            0.007492,            0.007492
                  40,            0.036382,            0.041043,           0.0089016,             0.92703,             0.95542,             0.96798,             0.61501,            0.033137,           0.0080136,           0.0052081,            0.007426,            0.007426,            0.007426
                  41,            0.036388,            0.041663,           0.0089238,             0.93724,             0.94837,             0.96995,             0.60962,            0.033137,           0.0080737,           0.0051771,             0.00736,             0.00736,             0.00736
                  42,             0.03642,            0.041419,           0.0088344,             0.93525,             0.93002,             0.96453,             0.60833,            0.032985,           0.0081168,           0.0052318,            0.007294,            0.007294,            0.007294
                  43,             0.03624,            0.040909,           0.0088425,             0.93942,              0.9411,             0.96751,             0.61668,            0.032737,           0.0079892,           0.0051993,            0.007228,            0.007228,            0.007228
                  44,             0.03602,            0.041734,           0.0088078,             0.92808,             0.94704,             0.96608,             0.61535,            0.032591,           0.0079932,           0.0051766,            0.007162,            0.007162,            0.007162
                  45,            0.035906,            0.041048,           0.0086554,             0.93599,             0.94895,             0.97041,              0.6176,            0.032755,           0.0079551,           0.0051878,            0.007096,            0.007096,            0.007096
                  46,            0.035803,            0.040409,           0.0087063,              0.9347,             0.95563,             0.97364,             0.62514,              0.0325,           0.0078461,           0.0051462,             0.00703,             0.00703,             0.00703
                  47,            0.035674,            0.040946,           0.0086574,             0.93112,              0.9475,             0.96825,             0.61473,            0.032383,           0.0079609,           0.0052277,            0.006964,            0.006964,            0.006964
                  48,            0.035773,            0.041117,           0.0086894,             0.92811,             0.94517,             0.96756,             0.61586,            0.032563,           0.0080872,           0.0052474,            0.006898,            0.006898,            0.006898
                  49,            0.035727,            0.040851,           0.0086917,             0.93115,              0.9496,             0.96987,             0.61956,            0.032337,           0.0078399,           0.0050803,            0.006832,            0.006832,            0.006832
                  50,            0.035719,            0.040985,           0.0087089,             0.93828,             0.94558,             0.97123,             0.61762,            0.032401,           0.0078309,           0.0051021,            0.006766,            0.006766,            0.006766
                  51,            0.035524,            0.040232,           0.0085694,             0.93607,             0.95563,              0.9729,             0.62164,            0.032373,            0.007883,             0.00507,              0.0067,              0.0067,              0.0067
                  52,            0.035669,            0.040029,           0.0086655,             0.93961,             0.95429,             0.97039,             0.62365,            0.032051,           0.0078286,           0.0049819,            0.006634,            0.006634,            0.006634
                  53,            0.035367,            0.040294,           0.0085682,             0.93738,              0.9388,              0.9679,             0.62234,            0.032073,           0.0078913,           0.0050966,            0.006568,            0.006568,            0.006568
                  54,            0.035122,            0.040631,            0.008531,             0.93184,             0.95443,             0.96878,              0.6304,            0.031706,           0.0077966,           0.0050026,            0.006502,            0.006502,            0.006502
                  55,            0.034923,            0.040228,           0.0084353,             0.92973,             0.95138,             0.96809,             0.62392,            0.032126,           0.0079499,           0.0050812,            0.006436,            0.006436,            0.006436
                  56,            0.035187,            0.040294,           0.0085603,              0.9324,             0.95099,             0.96782,             0.62215,            0.031794,           0.0078661,           0.0050219,             0.00637,             0.00637,             0.00637
                  57,            0.034902,            0.040136,           0.0084317,             0.92955,             0.94881,             0.96988,             0.62392,            0.031932,           0.0078682,           0.0049436,            0.006304,            0.006304,            0.006304
                  58,            0.034958,            0.040542,           0.0084832,             0.93769,             0.95286,             0.97167,             0.62705,            0.032081,           0.0078146,           0.0050689,            0.006238,            0.006238,            0.006238
